year,neighborhood,sale_price_sqr_foot,housing_units,gross_rent
2010,Alamo Square,291.18294547229100,372560,1239
2010,Anza Vista,267.9325826799480,372560,1239
2010,Bayview,170.09866536400100,372560,1239
2010,Buena Vista Park,347.39491940371100,372560,1239
2010,Central Richmond,319.0276225530690,372560,1239
2010,Central Sunset,418.1724927089680,372560,1239
2010,Corona Heights,369.3593380041370,372560,1239
2010,Cow Hollow,569.3799679261330,372560,1239
2010,Croker Amazon,165.64573006507900,372560,1239
2010,Diamond Heights,456.9308221979010,372560,1239
2010,Downtown ,241.80455206485100,372560,1239
2010,Eureka Valley/Dolores Heights,403.1183126490990,372560,1239
2010,Excelsior,364.9283357085180,372560,1239
2010,Financial District North,401.7499665916540,372560,1239
2010,Financial District South,162.82121004772400,372560,1239
2010,Forest Knolls,209.04932663469500,372560,1239
2010,Glen Park,715.5864380979740,372560,1239
2010,Golden Gate Heights,551.8011188234770,372560,1239
2010,Haight Ashbury,254.47377914469100,372560,1239
2010,Hayes Valley,272.28497956385500,372560,1239
2010,Hunters Point,170.62491987132700,372560,1239
2010,Ingleside ,275.0566856099090,372560,1239
2010,Inner Mission,238.35002040677700,372560,1239
2010,Inner Parkside,199.7020037821990,372560,1239
2010,Inner Richmond,285.8223584886830,372560,1239
2010,Inner Sunset,275.76972957461000,372560,1239
2010,Jordan Park/Laurel Heights,419.8878118764660,372560,1239
2010,Lake --The Presidio,320.79691049204600,372560,1239
2010,Lone Mountain,398.4588759923030,372560,1239
2010,Lower Pacific Heights,374.05763601016800,372560,1239
2010,Marina,387.392839476922,372560,1239
2010,Miraloma Park,680.6087291389300,372560,1239
2010,Mission Bay,489.80537777998500,372560,1239
2010,Mission Dolores,257.9879986350070,372560,1239
2010,Mission Terrace,262.87602564056400,372560,1239
2010,Nob Hill,307.67747674427800,372560,1239
2010,Noe Valley,381.1384451470530,372560,1239
2010,Oceanview,282.11967050133600,372560,1239
2010,Outer Parkside,432.1952921124560,372560,1239
2010,Outer Richmond ,338.12619999607000,372560,1239
2010,Outer Sunset,368.31155203937300,372560,1239
2010,Pacific Heights,496.5160141469500,372560,1239
2010,Park North,326.01715041025100,372560,1239
2010,Parkside,274.1667415866910,372560,1239
2010,Parnassus/Ashbury Heights,434.25500394602600,372560,1239
2010,Portola,302.15611319728900,372560,1239
2010,Potrero Hill,491.45000385678600,372560,1239
2010,Presidio Heights,549.4179312485750,372560,1239
2010,Russian Hill,362.3482239131210,372560,1239
2010,South Beach,1037.0997886617900,372560,1239
2010,South of Market,401.2959764896400,372560,1239
2010,Sunnyside,542.5316819894510,372560,1239
2010,Telegraph Hill,524.7935090952680,372560,1239
2010,Twin Peaks,331.555996145607,372560,1239
2010,Union Square District,569.1934475267740,372560,1239
2010,Van Ness/ Civic Center,108.0129268765050,372560,1239
2010,West Portal,392.30076417058300,372560,1239
2010,Western Addition,215.56913431487600,372560,1239
2010,Yerba Buena,333.1267738419390,372560,1239
2011,Alamo Square,272.5273101795260,374507,1530
2011,Bayview,172.54056243085600,374507,1530
2011,Bernal Heights ,471.9217320911280,374507,1530
2011,Buena Vista Park,171.7723466866040,374507,1530
2011,Central Richmond,261.6638003416520,374507,1530
2011,Central Sunset,391.426449729962,374507,1530
2011,Clarendon Heights,520.718167530543,374507,1530
2011,Corona Heights,222.56784804769600,374507,1530
2011,Cow Hollow,390.5956530284180,374507,1530
2011,Croker Amazon,145.85338027594100,374507,1530
2011,Diamond Heights,382.35226106405900,374507,1530
2011,Downtown ,234.28162351035400,374507,1530
2011,Duboce Triangle,295.77937822922700,374507,1530
2011,Eureka Valley/Dolores Heights,413.16280403427500,374507,1530
2011,Financial District North,281.31290435728300,374507,1530
2011,Financial District South,354.66555789282800,374507,1530
2011,Glen Park,457.41388429762500,374507,1530
2011,Golden Gate Heights,348.92970004124900,374507,1530
2011,Haight Ashbury,392.3534509732680,374507,1530
2011,Hayes Valley,280.73063309393100,374507,1530
2011,Ingleside ,356.7090091359040,374507,1530
2011,Ingleside Heights,198.01587292452000,374507,1530
2011,Inner Mission,283.17495073168800,374507,1530
2011,Inner Richmond,360.03727240448300,374507,1530
2011,Inner Sunset,302.60448945564100,374507,1530
2011,Jordan Park/Laurel Heights,610.7666631577350,374507,1530
2011,Lake --The Presidio,330.10889435237300,374507,1530
2011,Lone Mountain,313.33845823084700,374507,1530
2011,Lower Pacific Heights,303.54419971619000,374507,1530
2011,Marina,390.8184689562140,374507,1530
2011,Miraloma Park,414.6760647760380,374507,1530
2011,Mission Bay,506.95217450146800,374507,1530
2011,Mission Dolores,293.4042461148190,374507,1530
2011,Nob Hill,340.6425969783880,374507,1530
2011,Noe Valley,373.9786870675520,374507,1530
2011,North Beach,290.9210327099610,374507,1530
2011,North Waterfront,346.9611600156020,374507,1530
2011,Outer Mission,142.14256751724600,374507,1530
